timestamp,robot_id,sigma_x,sigma_y,sigma_theta
1763489038.507568,2,0.432764,0.326705,0.213687
1763489038.507568,3,0.435040,0.239086,0.172042
1763489038.507568,4,0.498050,0.686628,0.415479
1763489038.507568,5,0.243030,0.213389,0.166250
1763489041.507812,1,0.287340,0.202921,0.157390
1763489041.507812,2,0.320261,0.209556,0.164616
1763489041.507812,3,0.455095,0.246823,0.187445
1763489041.507812,4,0.346427,0.747655,0.392907
1763489041.507812,5,0.307739,0.263846,0.219511
1763489044.507500,1,0.331105,0.251208,0.167545
1763489044.507500,2,0.337486,0.237513,0.188465
1763489044.507500,3,0.356529,0.187899,0.148457
1763489044.507500,4,0.225451,0.525148,0.324006
1763489044.507500,5,0.351627,0.189985,0.171957
1763489047.507168,1,0.240829,0.270165,0.190995
1763489047.507168,2,0.240978,0.204379,0.162898
1763489047.507168,3,0.426640,0.235547,0.186814
1763489047.507168,4,0.220488,0.256238,0.180234
1763489047.507168,5,0.322259,0.204923,0.169359
1763489050.506091,1,0.283074,0.442914,0.292872
1763489050.506091,2,0.307301,0.341503,0.232412
1763489050.506091,3,0.551036,0.278017,0.233498
1763489050.506091,4,0.268904,0.228012,0.174543
1763489050.506091,5,0.303714,0.227308,0.187897
1763489053.508038,1,0.336009,0.221073,0.172337
1763489053.508038,2,0.378043,0.506650,0.346111
1763489053.508038,3,0.322342,0.199828,0.168042
1763489053.508038,4,0.388757,0.256401,0.279068
1763489053.508038,5,0.375695,0.220737,0.192805
1763489056.507010,1,0.383060,0.204550,0.166332
1763489056.507010,2,0.462568,0.192234,0.190588
1763489056.507010,3,0.310880,0.206678,0.194831
1763489056.507010,4,0.424049,0.283255,0.372275
1763489056.507010,5,0.310094,0.143108,0.147412
1763489059.508298,1,0.538176,0.290595,0.236828
1763489059.508298,2,0.372316,0.189410,0.181982
1763489059.508298,3,0.283212,0.203096,0.193846
1763489059.508298,4,0.275456,0.181995,0.213287
1763489059.508298,5,0.290004,0.203218,0.191603
1763489062.509349,1,0.554010,0.326757,0.252205
1763489062.509349,2,0.435459,0.240497,0.221591
1763489062.509349,3,0.269170,0.183930,0.179704
1763489062.509349,4,0.257744,0.200066,0.194796
1763489062.509349,5,0.333522,0.248222,0.197883
1763489065.507902,1,0.445322,0.247080,0.200236
1763489065.507902,2,0.374703,0.290292,0.232725
1763489065.507902,3,0.484004,0.437401,0.345424
1763489065.507902,4,0.399953,0.357797,0.274099
1763489065.507902,5,0.347699,0.237586,0.185426
1763489068.508692,1,0.381220,0.230408,0.195728
1763489068.508692,2,0.437963,0.373109,0.269923
1763489068.508692,3,0.609421,0.491935,0.355151
1763489068.508692,4,0.586525,0.559459,0.409310
1763489068.508692,5,0.491254,0.353435,0.265832
1763489071.507581,1,0.304321,0.197736,0.172863
1763489071.507581,2,0.250045,0.240476,0.206016
1763489071.507581,3,0.655770,0.401256,0.372568
1763489071.507581,4,0.593879,0.556057,0.553599
1763489071.507581,5,0.442857,0.280827,0.439143
1763489074.506710,1,0.409429,0.285342,0.200067
1763489074.506710,2,0.371073,0.226776,0.185694
1763489074.506710,3,0.807008,0.624134,0.507692
1763489074.506710,4,0.378614,0.353843,0.328020
1763489074.506710,5,0.336108,0.269944,0.568504
1763489077.508652,1,0.295737,0.199260,0.180392
1763489077.508652,2,0.536859,0.224197,0.215689
1763489077.508652,3,0.832769,0.651187,0.566940
1763489077.508652,4,0.568916,0.527870,0.401662
1763489077.508652,5,0.608502,0.577726,0.675049
1763489080.506769,1,0.344497,0.270438,0.224919
1763489080.506769,2,0.346464,0.228526,0.190831
1763489080.506769,3,0.980246,0.839136,0.679280
1763489080.506769,4,0.571117,0.409328,0.391778
1763489080.506769,5,0.804887,0.782238,0.771162
1763489083.506606,1,0.613038,0.573902,0.426001
1763489083.506606,2,0.538362,0.365603,0.319531
1763489083.506606,3,1.085359,0.964522,0.757906
1763489083.506606,4,0.570260,0.307556,0.241223
1763489083.506606,5,0.919039,0.462022,0.368882
1763489086.507433,1,0.701917,0.507184,0.392167
1763489086.507433,2,0.350479,0.297879,0.212877
1763489086.507433,3,1.171580,1.065128,0.822448
1763489086.507433,4,0.425652,0.196590,0.181041
1763489086.507433,5,0.583244,0.205824,0.180560
1763489089.507534,1,0.342909,0.281262,0.242914
1763489089.507534,2,0.402395,0.221021,0.174919
1763489089.507534,3,0.707105,0.348004,0.355022
1763489089.507534,4,0.394787,0.257646,0.215871
1763489089.507534,5,0.321099,0.201911,0.155643
1763489092.507100,1,0.632806,0.602613,0.448323
1763489092.507100,2,0.295325,0.240871,0.181511
1763489092.507100,3,0.267589,0.387821,0.222395
1763489092.507100,4,0.359592,0.247166,0.210527
1763489092.507100,5,0.524548,0.220060,0.177920
1763489095.506853,1,0.808133,0.785203,0.572660
1763489095.506853,2,0.304717,0.292529,0.231752
1763489095.506853,3,0.320161,0.228471,0.160648
1763489095.506853,4,0.256404,0.186333,0.161912
1763489095.506853,5,0.430550,0.201025,0.180313
1763489098.508272,1,0.941964,0.922656,0.667411
1763489098.508272,2,0.344694,0.351035,0.262984
1763489098.508272,3,0.330140,0.194846,0.159134
1763489098.508272,4,0.380612,0.272540,0.193699
1763489098.508272,5,0.578859,0.408542,0.320113
1763489101.509377,1,1.038331,1.020982,0.735484
1763489101.509377,2,0.468859,0.290476,0.197450
1763489101.509377,3,0.337127,0.231562,0.156419
1763489101.509377,4,0.423006,0.333582,0.214657
1763489101.509377,5,0.728056,0.601587,0.447182
1763489104.508070,1,1.147811,1.132182,0.812673
1763489104.508070,2,0.668457,0.327795,0.211426
1763489104.508070,3,0.393733,0.332740,0.206400
1763489104.508070,4,0.377801,0.420974,0.274861
1763489104.508070,5,0.859688,0.755583,0.551790
1763489107.508546,1,0.675512,0.224737,0.281679
1763489107.508546,2,0.550138,0.319777,0.224717
1763489107.508546,3,0.239789,0.353103,0.262529
1763489107.508546,4,0.255924,0.508933,0.359077
1763489107.508546,5,0.537444,0.549175,0.337884
1763489110.507724,1,0.613388,0.278466,0.315025
1763489110.507724,2,0.350914,0.224130,0.176454
1763489110.507724,3,0.401225,0.230731,0.179655
1763489110.507724,4,0.397911,0.604989,0.482536
1763489110.507724,5,0.336092,0.224758,0.179266
1763489113.507198,1,0.344334,0.252546,0.208271
1763489113.507198,2,0.308504,0.224925,0.192998
1763489113.507198,3,0.447955,0.252992,0.209223
1763489113.507198,4,0.393530,0.376862,0.551552
1763489113.507198,5,0.259434,0.171157,0.138519
1763489116.506911,1,0.332183,0.247208,0.216753
1763489116.506911,2,0.285473,0.211545,0.190060
1763489116.506911,3,0.296714,0.403234,0.294018
1763489116.506911,4,0.529989,0.283068,0.270287
1763489116.506911,5,0.235107,0.165838,0.123303
1763489119.516566,1,0.219881,0.420467,0.227431
1763489119.516566,2,0.245810,0.186174,0.176765
1763489119.516566,3,0.273864,0.254967,0.234122
1763489119.516566,4,0.358388,0.190047,0.170826
1763489119.516566,5,0.193383,0.140898,0.105728
1763489122.506276,1,0.250081,0.454345,0.256138
1763489122.506276,2,0.238055,0.187379,0.141673
1763489122.506276,3,0.377552,0.223236,0.183995
1763489122.506276,4,0.512855,0.240389,0.178562
1763489122.506276,5,0.395015,0.219732,0.192506
1763489125.507225,1,0.251573,0.270370,0.219852
1763489125.507225,2,0.248692,0.202537,0.190562
1763489125.507225,3,0.278824,0.227621,0.184631
1763489125.507225,4,0.270081,0.233037,0.175450
1763489125.507225,5,0.288891,0.163974,0.132427
1763489128.507141,1,0.272627,0.350042,0.295920
1763489128.507141,2,0.309181,0.251487,0.234317
1763489128.507141,3,0.362854,0.200114,0.170664
1763489128.507141,4,0.342056,0.313344,0.205869
1763489128.507141,5,0.301867,0.209426,0.172328
1763489131.508030,1,0.584064,0.619814,0.470133
1763489131.508030,2,0.462740,0.389824,0.285092
1763489131.508030,3,0.297498,0.272913,0.216196
1763489131.508030,4,0.401318,0.265827,0.192053
1763489131.508030,5,0.303512,0.234251,0.156639
1763489134.507308,1,0.640639,0.591411,0.590736
1763489134.507308,2,0.524740,0.437405,0.360418
1763489134.507308,3,0.564914,0.527881,0.402625
1763489134.507308,4,0.410322,0.354528,0.268771
1763489134.507308,5,0.357481,0.296134,0.160206
1763489137.506815,1,0.818710,0.780914,0.692075
1763489137.506815,2,0.324334,0.279851,0.297688
1763489137.506815,3,0.464095,0.263807,0.203655
1763489137.506815,4,0.565285,0.486151,0.381633
1763489137.506815,5,0.363006,0.257192,0.208777
1763489140.506403,1,0.962364,0.931238,0.779080
1763489140.506403,2,0.382219,0.288931,0.379005
1763489140.506403,3,0.304679,0.190654,0.155501
1763489140.506403,4,0.659636,0.561753,0.486784
1763489140.506403,5,0.245781,0.215556,0.180971
1763489143.506923,1,1.093180,1.067329,0.861084
1763489143.506923,2,0.330973,0.264189,0.525926
1763489143.506923,3,0.384427,0.228107,0.182261
1763489143.506923,4,0.830178,0.753076,0.605359
1763489143.506923,5,0.346778,0.306673,0.222193
1763489146.506345,1,0.898631,0.433421,0.286980
